label,precision,recall,f1,support
yes,0.9612403100775194,0.96875,0.9649805447470817,256
no,0.855595667870036,0.9404761904761905,0.8960302457466918,252
up,0.9350180505415162,0.9522058823529411,0.9435336976320582,272
down,0.9163346613545816,0.9090909090909091,0.9126984126984127,253
left,0.9239130434782609,0.9550561797752809,0.9392265193370166,267
right,0.6974789915966386,0.9613899613899614,0.8084415584415585,259
on,0.8884758364312267,0.9715447154471545,0.9281553398058252,246
off,0.947565543071161,0.9656488549618321,0.9565217391304347,262
stop,0.9346153846153846,0.9759036144578314,0.9548133595284873,249
go,0.7745098039215687,0.9442231075697212,0.850987432675045,251
unknown,0.9912696433025692,0.9311152764761013,0.9602512987797511,4268
silence,0.8526315789473684,0.9455252918287937,0.896678966789668,257
