label,precision,recall,f1,support
yes,0.9644268774703557,0.953125,0.9587426326129665,256
no,0.8661710037174721,0.9246031746031746,0.8944337811900193,252
up,0.9386281588447654,0.9558823529411765,0.9471766848816029,272
down,0.9567099567099567,0.8735177865612648,0.9132231404958677,253
left,0.9586466165413534,0.9550561797752809,0.9568480300187617,267
right,0.9473684210526315,0.9034749034749034,0.924901185770751,259
on,0.94,0.9552845528455285,0.9475806451612904,246
off,0.98,0.9351145038167938,0.9570312499999999,262
stop,0.9683794466403162,0.9839357429718876,0.9760956175298805,249
go,0.8786764705882353,0.952191235059761,0.9139579349904398,251
unknown,0.9779756326148079,0.9779756326148079,0.9779756326148079,4268
silence,0.9609375,0.9571984435797666,0.9590643274853801,257
