label,precision,recall,f1,support
yes,0.9759036144578314,0.94921875,0.9623762376237623,256
no,0.8634686346863468,0.9285714285714286,0.8948374760994263,252
up,0.9696969696969697,0.9411764705882353,0.955223880597015,272
down,0.9493670886075949,0.8893280632411067,0.9183673469387754,253
left,0.9616858237547893,0.9400749063670412,0.9507575757575758,267
right,0.9745762711864406,0.888030888030888,0.9292929292929293,259
on,0.914396887159533,0.9552845528455285,0.9343936381709741,246
off,0.9575289575289575,0.9465648854961832,0.9520153550863724,262
stop,0.9796747967479674,0.9678714859437751,0.9737373737373738,249
go,0.8780487804878049,0.8605577689243028,0.8692152917505029,251
unknown,0.9586016559337627,0.9765698219306467,0.967502321262767,4268
silence,0.981651376146789,0.8326848249027238,0.9010526315789473,257
