label,precision,recall,f1,support
yes,0.9841269841269841,0.96875,0.9763779527559054,256
no,0.9176470588235294,0.9285714285714286,0.923076923076923,252
up,0.9397163120567376,0.9742647058823529,0.9566787003610109,272
down,0.9294117647058824,0.9367588932806324,0.9330708661417322,253
left,0.9700374531835206,0.9700374531835206,0.9700374531835205,267
right,0.9877551020408163,0.9343629343629344,0.9603174603174603,259
on,0.9442231075697212,0.9634146341463414,0.9537223340040242,246
off,0.9839357429718876,0.9351145038167938,0.9589041095890412,262
stop,0.983739837398374,0.9718875502008032,0.9777777777777777,249
go,0.9156626506024096,0.9083665338645418,0.912,251
unknown,0.9713625866050808,0.985473289597001,0.9783670621074668,4268
silence,0.943127962085308,0.77431906614786,0.8504273504273504,257
