label,precision,recall,f1,support
yes,0.96484375,0.96484375,0.96484375,256
no,0.9058823529411765,0.9166666666666666,0.9112426035502958,252
up,0.9072164948453608,0.9705882352941176,0.9378330373001776,272
down,0.7913907284768212,0.9446640316205533,0.8612612612612612,253
left,0.9107142857142857,0.9550561797752809,0.9323583180987203,267
right,0.8736462093862816,0.9343629343629344,0.9029850746268657,259
on,0.936,0.9512195121951219,0.9435483870967742,246
off,0.8714285714285714,0.9312977099236641,0.9003690036900369,262
stop,0.9641434262948207,0.9718875502008032,0.968,249
go,0.8540145985401459,0.9322709163346613,0.8914285714285715,251
unknown,0.9861177596936334,0.9653233364573571,0.975609756097561,4268
silence,0.9696969696969697,0.7470817120622568,0.843956043956044,257
