label,precision,recall,f1,support
yes,0.9880952380952381,0.97265625,0.9803149606299213,256
no,0.8859315589353612,0.9246031746031746,0.904854368932039,252
up,0.9044368600682594,0.9742647058823529,0.9380530973451328,272
down,0.9453781512605042,0.8893280632411067,0.9164969450101833,253
left,0.9625468164794008,0.9625468164794008,0.9625468164794008,267
right,0.9791666666666666,0.9073359073359073,0.9418837675350701,259
on,0.9551020408163265,0.9512195121951219,0.9531568228105907,246
off,0.8503401360544217,0.9541984732824428,0.8992805755395683,262
stop,0.9757085020242915,0.9678714859437751,0.9717741935483871,249
go,0.8843283582089553,0.9442231075697212,0.9132947976878613,251
unknown,0.9792589140060592,0.9845360824742269,0.9818904077579157,4268
silence,0.9896907216494846,0.7470817120622568,0.8514412416851441,257
