label,precision,recall,f1,support
yes,0.9686274509803922,0.96484375,0.9667318982387475,256
no,0.9426229508196722,0.9126984126984127,0.9274193548387096,252
up,0.9664179104477612,0.9522058823529411,0.9592592592592593,272
down,0.915057915057915,0.9367588932806324,0.9257812499999999,253
left,0.9398496240601504,0.9363295880149812,0.9380863039399624,267
right,0.9140625,0.9034749034749034,0.9087378640776699,259
on,0.9325396825396826,0.9552845528455285,0.9437751004016065,246
off,0.9754098360655737,0.9083969465648855,0.9407114624505928,262
stop,0.9682539682539683,0.9799196787148594,0.9740518962075849,249
go,0.9437229437229437,0.8685258964143426,0.9045643153526971,251
unknown,0.9545038866026521,0.9782099343955014,0.9662115251099282,4268
silence,0.9738219895287958,0.7237354085603113,0.8303571428571428,257
