label,precision,recall,f1,support
yes,0.968503937007874,0.9609375,0.9647058823529412,256
no,0.9,0.9285714285714286,0.9140625,252
up,0.9222614840989399,0.9595588235294118,0.9405405405405406,272
down,0.963265306122449,0.932806324110672,0.9477911646586347,253
left,0.9734848484848485,0.9625468164794008,0.967984934086629,267
right,0.9917355371900827,0.9266409266409267,0.9580838323353292,259
on,0.967741935483871,0.975609756097561,0.97165991902834,246
off,0.9547169811320755,0.9656488549618321,0.9601518026565465,262
stop,0.979757085020243,0.9718875502008032,0.9758064516129032,249
go,0.9338842975206612,0.900398406374502,0.9168356997971603,251
unknown,0.9716850828729282,0.988987816307404,0.9802601021830004,4268
silence,0.98989898989899,0.7626459143968871,0.8615384615384615,257
