label,precision,recall,f1,support
yes,0.9536679536679536,0.96484375,0.9592233009708738,256
no,0.8197879858657244,0.9206349206349206,0.8672897196261683,252
up,0.9487179487179487,0.9522058823529411,0.9504587155963302,272
down,0.7564102564102564,0.932806324110672,0.8353982300884956,253
left,0.940959409594096,0.9550561797752809,0.9479553903345724,267
right,0.8464285714285714,0.915057915057915,0.8794063079777366,259
on,0.7966101694915254,0.9552845528455285,0.8687615526802218,246
off,0.9481481481481482,0.9770992366412213,0.962406015037594,262
stop,0.953125,0.9799196787148594,0.9663366336633663,249
go,0.8048780487804879,0.9203187250996016,0.858736059479554,251
unknown,0.984169508037019,0.9468134957825679,0.9651301647957966,4268
silence,0.98,0.7626459143968871,0.8577680525164114,257
