label,precision,recall,f1,support
yes,0.9688715953307393,0.97265625,0.9707602339181286,256
no,0.8394160583941606,0.9126984126984127,0.8745247148288974,252
up,0.9006849315068494,0.9669117647058824,0.9326241134751773,272
down,0.8529411764705882,0.9169960474308301,0.8838095238095237,253
left,0.9411764705882353,0.9588014981273408,0.9499072356215214,267
right,0.9586776859504132,0.8957528957528957,0.9261477045908184,259
on,0.9111969111969112,0.959349593495935,0.9346534653465346,246
off,0.9507575757575758,0.9580152671755725,0.9543726235741445,262
stop,0.9758064516129032,0.9718875502008032,0.9738430583501007,249
go,0.9090909090909091,0.9163346613545816,0.9126984126984127,251
unknown,0.9812338728594886,0.9800843486410497,0.9806587738834838,4268
silence,1.0,0.7626459143968871,0.8653421633554084,257
