label,precision,recall,f1,support
yes,0.9722222222222222,0.95703125,0.9645669291338581,256
no,0.935064935064935,0.8571428571428571,0.8944099378881988,252
up,0.9922480620155039,0.9411764705882353,0.9660377358490566,272
down,0.9495798319327731,0.8932806324110671,0.9205702647657841,253
left,0.984251968503937,0.9363295880149812,0.9596928982725527,267
right,0.9829787234042553,0.8918918918918919,0.9352226720647773,259
on,0.9554655870445344,0.959349593495935,0.9574036511156186,246
off,0.9882352941176471,0.9618320610687023,0.9748549323017409,262
stop,1.0,0.9598393574297188,0.9795081967213114,249
go,0.9106382978723404,0.852589641434263,0.8806584362139918,251
unknown,0.9478768815996406,0.9885192127460168,0.9677715334327331,4268
silence,0.9949238578680203,0.7626459143968871,0.8634361233480177,257
