label,precision,recall,f1,support
yes,0.96875,0.96875,0.96875,256
no,0.9080459770114943,0.9404761904761905,0.9239766081871346,252
up,0.9316546762589928,0.9522058823529411,0.9418181818181818,272
down,0.9230769230769231,0.9011857707509882,0.912,253
left,0.9507575757575758,0.9400749063670412,0.9453860640301318,267
right,0.9444444444444444,0.918918918918919,0.9315068493150684,259
on,0.9670781893004116,0.9552845528455285,0.9611451942740287,246
off,0.9803149606299213,0.950381679389313,0.9651162790697675,262
stop,0.968,0.9718875502008032,0.969939879759519,249
go,0.9256198347107438,0.8924302788844621,0.9087221095334685,251
unknown,0.9803646563814866,0.9826616682286785,0.9815118183945705,4268
silence,0.9101123595505618,0.9455252918287937,0.9274809160305344,257
