label,precision,recall,f1,support
yes,0.946969696969697,0.9765625,0.9615384615384616,256
no,0.9308943089430894,0.9087301587301587,0.9196787148594378,252
up,0.889273356401384,0.9448529411764706,0.9162210338680925,272
down,0.9554655870445344,0.932806324110672,0.9440000000000001,253
left,0.9407407407407408,0.951310861423221,0.9459962756052142,267
right,0.9606299212598425,0.9420849420849421,0.9512670565302145,259
on,0.932,0.9471544715447154,0.9395161290322581,246
off,0.9762845849802372,0.9427480916030534,0.9592233009708738,262
stop,0.9835390946502057,0.9598393574297188,0.9715447154471544,249
go,0.8905660377358491,0.9402390438247012,0.9147286821705427,251
unknown,0.9787134502923976,0.9803186504217432,0.9795153927191854,4268
silence,0.902542372881356,0.8287937743190662,0.8640973630831643,257
