label,precision,recall,f1,support
yes,0.9649805447470817,0.96875,0.9668615984405458,256
no,0.9022556390977443,0.9523809523809523,0.9266409266409266,252
up,0.821656050955414,0.9485294117647058,0.8805460750853242,272
down,0.9662447257383966,0.9051383399209486,0.9346938775510203,253
left,0.9588014981273408,0.9588014981273408,0.9588014981273408,267
right,0.9714285714285714,0.918918918918919,0.9444444444444445,259
on,0.9372549019607843,0.9715447154471545,0.9540918163672656,246
off,0.8908450704225352,0.9656488549618321,0.9267399267399268,262
stop,0.968,0.9718875502008032,0.969939879759519,249
go,0.9382716049382716,0.9083665338645418,0.9230769230769231,251
unknown,0.983867196633154,0.985941893158388,0.9849034523112932,4268
silence,0.9949238578680203,0.7626459143968871,0.8634361233480177,257
