epoch,step,train_loss,val_macro_f1,val_accuracy,learning_rate
1,414,3.2359987134518833,0.31564371756366555,0.5348639455782312,0.010024154589371982
2,828,2.075366970997502,0.6253388759405072,0.7565192743764172,0.020024154589371984
3,1242,1.0230919862714942,0.7954549588982237,0.8669217687074829,0.030024154589371983
4,1656,0.6060638519156958,0.8350006053385952,0.8945578231292517,0.04002415458937198
5,2070,0.4544442904672185,0.8702293708439072,0.9209183673469388,0.05
6,2484,0.37193820348396395,0.8758161445018335,0.9247448979591837,0.05
7,2898,0.3179392288596446,0.8385096325371673,0.9044784580498866,0.05
8,3312,0.28438824152456965,0.884240985598694,0.9278628117913832,0.05
9,3726,0.2595561615906764,0.8805916867470899,0.9246031746031746,0.05
10,4140,0.23642896443317477,0.9144992420509622,0.9452947845804989,0.05
11,4554,0.2194704697129951,0.9066056137027321,0.9401927437641724,0.05
12,4968,0.20971738838631174,0.9172183253836742,0.9479875283446711,0.05
13,5382,0.1987616633321496,0.9053407980218903,0.9407596371882087,0.05
14,5796,0.18975972846726288,0.9119730804603122,0.9445861678004536,0.05
15,6210,0.177961778840509,0.9157630374361277,0.9455782312925171,0.05
16,6624,0.17182114777033744,0.9133940286007408,0.9454365079365079,0.05
17,7038,0.16757490159268829,0.8806157553460293,0.9217687074829932,0.05
18,7452,0.16331866017322322,0.9003966035637515,0.9365079365079365,0.05
19,7866,0.16082082608723697,0.91399367379247,0.9464285714285714,0.05
20,8280,0.15276137267909765,0.921974620547092,0.9513888888888888,0.05
21,8694,0.14970494373948964,0.920716359474265,0.9508219954648526,0.05
22,9108,0.14523892570736904,0.9297188705442182,0.9553571428571429,0.05
23,9522,0.1442026654618302,0.9211686424550795,0.94968820861678,0.05
24,9936,0.14095215322584778,0.9161581978438497,0.9486961451247166,0.05
25,10350,0.13656682672276013,0.9204788433640422,0.9499716553287982,0.05
26,10764,0.1366832620837694,0.9329837124819774,0.9554988662131519,0.05
27,11178,0.13371507287619339,0.9262013551387046,0.9529478458049887,0.05
28,11592,0.13244706785063382,0.9131371580846341,0.9454365079365079,0.05
29,12006,0.12704153372883653,0.9225690389929956,0.9523809523809523,0.05
30,12420,0.1253920663283139,0.910031552893352,0.9450113378684807,0.05
31,12834,0.12482623027520623,0.9238065618160217,0.9513888888888888,0.05
32,13248,0.12476851475303588,0.9219541094985148,0.9499716553287982,0.05
33,13662,0.12339301577854704,0.9320762202218424,0.9579081632653061,0.05
34,14076,0.11809627452622289,0.9285189308656577,0.953514739229025,0.05
35,14490,0.12150292832782303,0.9288062172408534,0.9539399092970522,0.05
36,14904,0.11823186479679844,0.9308908106598573,0.9580498866213152,0.05
37,15318,0.11626961546081707,0.9253381826595066,0.953514739229025,0.05
38,15732,0.11723375764499971,0.9154583410295724,0.9478458049886621,0.05
39,16146,0.1133867824756077,0.9336337503919755,0.9567743764172335,0.05
40,16560,0.11509442020990494,0.9120828611560458,0.9438775510204082,0.05
41,16974,0.11131121289290956,0.9019638903261864,0.9346655328798186,0.05
42,17388,0.1106440757225821,0.927886724295569,0.9546485260770975,0.05
43,17802,0.11184645010437366,0.9344948802284868,0.9596088435374149,0.05
44,18216,0.11254330544961967,0.9316871422169766,0.957624716553288,0.05
45,18630,0.11090399441421751,0.9276973101718068,0.9554988662131519,0.049999999766810084
46,19044,0.11011043019763729,0.9200057015080136,0.9503968253968254,0.04995984983710439
47,19458,0.10870976079534289,0.9106029776738772,0.9469954648526077,0.04983991696126541
48,19872,0.10661623783292618,0.9219153481804149,0.9505385487528345,0.04964059233540582
49,20286,0.10477578698922903,0.9241461513893056,0.9529478458049887,0.04936252611502507
50,20700,0.10433188413274316,0.9113269679560559,0.9443027210884354,0.04900662529433736
51,21114,0.10265322497501465,0.9204342691285414,0.9501133786848073,0.04857405074784499
52,21528,0.099427435801315,0.9191454276972592,0.949546485260771,0.048066213443807
53,21942,0.10054283953555253,0.9294829101366945,0.9567743764172335,0.04748476984195404
54,22356,0.09874328102349587,0.9251002620463082,0.9546485260770975,0.04683161649046096
55,22770,0.09568722582993588,0.9170783151842987,0.9464285714285714,0.04610888383980095
56,23184,0.09776028762863959,0.9321403763456538,0.9573412698412699,0.04531892929365881
57,23598,0.09632417337591018,0.9343446042906818,0.9590419501133787,0.04446432951957024
58,24012,0.092584029816379,0.9317534255122144,0.9581916099773242,0.043547872044367796
59,24426,0.09114134157355425,0.9176836372706244,0.947562358276644,0.04257254616184781
60,24840,0.09156143417410949,0.9237777879616166,0.951672335600907,0.041541533182315384
61,25254,0.08588617205943751,0.9280982808872879,0.9546485260770975,0.040458196055811343
62,25668,0.08491773898870761,0.9320370513005475,0.9566326530612245,0.039326068402868286
63,26082,0.08442993293592824,0.9320627421653622,0.9574829931972789,0.03814884298857478
64,26496,0.08065013432479351,0.9182165891791624,0.9494047619047619,0.0369303596775433
65,26910,0.07959176112047356,0.9274301369957186,0.9552154195011338,0.03567459290906989
66,27324,0.07640384996966751,0.92889807655692,0.9540816326530612,0.03438563873333934
67,27738,0.07790043245740055,0.9272124212500831,0.9543650793650794,0.03306770145096083
68,28152,0.07605240226088875,0.932577776427308,0.9564909297052154,0.03172507989941322
69,28566,0.07209750389959213,0.9314385367549295,0.957624716553288,0.030362153431130714
70,28980,0.07155129796901835,0.9191946228264518,0.9478458049886621,0.028983367628965508
71,29394,0.07064849513938318,0.9421807292184137,0.9628684807256236,0.02759321980562048
72,29808,0.06710714715699427,0.9436308153718959,0.9635770975056689,0.026196244334350017
73,30222,0.06531547382248988,0.9338339367951213,0.9593253968253969,0.02479699785877687
74,30636,0.06442068815051358,0.9340947327623241,0.9587585034013606,0.023400044430067796
75,31050,0.06033843564958388,0.9404048739671597,0.9634353741496599,0.022009940619947307
76,31464,0.05958377529421578,0.9346843612588396,0.9604591836734694,0.020631220658107782
77,31878,0.05847199916938581,0.9291611280717672,0.9550736961451247,0.019268381642494663
78,32292,0.054935229134606425,0.9224737666999574,0.9508219954648526,0.017925868870707698
79,32706,0.05355003212493111,0.9286481296571204,0.955640589569161,0.016608061340364126
80,33120,0.051045262150169496,0.9352742771769634,0.9600340136054422,0.015319257465718637
81,33534,0.05054684440888788,0.9393790700729676,0.9621598639455783,0.014063661057129515
82,33948,0.04714978503846172,0.9349496070546858,0.9593253968253969,0.012845367609103014
83,34362,0.04605180053670265,0.934696535043081,0.9606009070294784,0.011668350941641523
84,34776,0.044587098815644856,0.9381518158041171,0.9613095238095238,0.010536450238468734
85,35190,0.04382679000010957,0.9335062531366005,0.9583333333333334,0.009453357524410256
86,35604,0.04150300646416735,0.9411587932038444,0.9627267573696145,0.008422605622776053
87,36018,0.04010069164152793,0.9350628957048402,0.9591836734693877,0.007447556632025164
88,36432,0.03958330516689929,0.9354780857175792,0.9594671201814059,0.006531390959299234
89,36846,0.037883052696892315,0.936919780004954,0.9607426303854876,0.005677096946595607
90,37260,0.0362617244835997,0.9314187856973141,0.9579081632653061,0.004887461123416756
91,37674,0.035086142548791846,0.9294408533270028,0.9569160997732427,0.004165059117690292
92,38088,0.03532388688015621,0.9314551483772928,0.9570578231292517,0.003512247254606006
93,38502,0.03365355514097905,0.9358670310153449,0.9606009070294784,0.0029311548707728445
94,38916,0.03264320409150371,0.9337655600606829,0.9590419501133787,0.0024236773687655003
95,39330,0.03244190398437209,0.9347393932915743,0.9594671201814059,0.0019914700347151665
96,39744,0.031168165708923543,0.9338342257077653,0.9586167800453514,0.0016359426391102422
97,40158,0.03136530413251856,0.9349455959356061,0.9600340136054422,0.0013582548384180168
98,40572,0.030763648514487388,0.932524836643767,0.9586167800453514,0.0011593123925263023
99,40986,0.029968698943204784,0.9319731875346102,0.9579081632653061,0.0010397642103429636
100,41400,0.031563430135970676,0.9347514985664733,0.9596088435374149,0.001
