label,precision,recall,f1,support
yes,0.9841269841269841,0.96875,0.9763779527559054,256
no,0.9352226720647774,0.9166666666666666,0.9258517034068137,252
up,0.9703703703703703,0.9632352941176471,0.9667896678966789,272
down,0.9407114624505929,0.9407114624505929,0.9407114624505928,253
left,0.9773584905660377,0.9700374531835206,0.9736842105263158,267
right,0.9917355371900827,0.9266409266409267,0.9580838323353292,259
on,0.956,0.9715447154471545,0.9637096774193548,246
off,0.9879032258064516,0.9351145038167938,0.9607843137254901,262
stop,0.987603305785124,0.9598393574297188,0.9735234215885947,249
go,0.918918918918919,0.9482071713147411,0.9333333333333333,251
unknown,0.9823296907695884,0.9899250234301781,0.9861127319407166,4268
silence,0.9505703422053232,0.9727626459143969,0.9615384615384615,257
