label,precision,recall,f1,support
yes,0.9576923076923077,0.97265625,0.9651162790697675,256
no,0.8911290322580645,0.876984126984127,0.8839999999999999,252
up,0.9771863117870723,0.9448529411764706,0.9607476635514018,272
down,0.9083665338645418,0.9011857707509882,0.9047619047619048,253
left,0.9420849420849421,0.9138576779026217,0.9277566539923956,267
right,0.9672131147540983,0.9111969111969112,0.9383697813121272,259
on,0.9,0.9512195121951219,0.9249011857707511,246
off,0.9554655870445344,0.9007633587786259,0.9273084479371315,262
stop,0.9798387096774194,0.9759036144578314,0.9778672032193159,249
go,0.85,0.8804780876494024,0.8649706457925636,251
unknown,0.9795294117647059,0.975398313027179,0.9774594975346327,4268
silence,0.8311258278145696,0.9766536964980544,0.8980322003577818,257
