label,precision,recall,f1,support
yes,0.9803921568627451,0.9765625,0.9784735812133072,256
no,0.9484126984126984,0.9484126984126984,0.9484126984126984,252
up,0.9810606060606061,0.9522058823529411,0.9664179104477612,272
down,0.9444444444444444,0.9407114624505929,0.9425742574257425,253
left,0.9773584905660377,0.9700374531835206,0.9736842105263158,267
right,0.9919354838709677,0.9498069498069498,0.9704142011834319,259
on,0.9635627530364372,0.967479674796748,0.9655172413793103,246
off,0.946360153256705,0.9427480916030534,0.9445506692160611,262
stop,0.9918367346938776,0.9759036144578314,0.9838056680161944,249
go,0.9437751004016064,0.9362549800796812,0.94,251
unknown,0.9864327485380117,0.9880506091846298,0.9872410160365211,4268
silence,0.921146953405018,1.0,0.9589552238805971,257
