stage,experiment_id,seed,backbone,strategy,resolved_config_path,run_dir,val_accuracy,val_macro_f1,val_keyword_macro_f1,test_accuracy,test_macro_f1,test_keyword_macro_f1,selected_tau
stage1,kwt_strategy_b,1337,kwt,b,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/kwt_strategy_b/seed_1337/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/kwt_strategy_b/seed_1337,0.9528061224489796,0.9255004634444672,0.9597599789247715,0.9509306260575296,0.9194529839255257,0.9589805431012985,
stage1,kwt_strategy_c,1337,kwt,c,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/kwt_strategy_c/seed_1337/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/kwt_strategy_c/seed_1337,0.967545351473923,0.9478193604960173,0.9579042426335184,0.9616469261139312,0.9345823329134347,0.9606561160290301,
stage1,kwt_strategy_d,1337,kwt,d,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/kwt_strategy_d/seed_1337/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/kwt_strategy_d/seed_1337,0.9600340136054422,0.9424990000298504,0.9552625639743176,0.9521996615905245,0.9321406143944918,0.9561490637645955,0.48
stage1,bcresnet_strategy_a,1338,bcresnet,a,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_a/seed_1338/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_a/seed_1338,0.9682539682539683,0.9499806220499033,0.9608089900127037,0.9723632261703328,0.9563531963012816,0.9636152896681607,
stage1,bcresnet_strategy_a,1337,bcresnet,a,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_a/seed_1337/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_a/seed_1337,0.9593253968253969,0.9327808560932525,0.9410169069786767,0.9671460800902425,0.9470300735742508,0.9494350131234379,
stage1,matchboxnet_strategy_c,1338,matchboxnet,c,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/matchboxnet_strategy_c/seed_1338/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/matchboxnet_strategy_c/seed_1338,0.9638605442176871,0.9413058740519961,0.9531796341479739,0.9588268471517203,0.9299451686210126,0.957687001964282,
stage1,matchboxnet_strategy_d,1338,matchboxnet,d,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/matchboxnet_strategy_d/seed_1338/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/matchboxnet_strategy_d/seed_1338,0.9591836734693877,0.9421846971799047,0.9472602803010162,0.9560067681895094,0.9386777759256368,0.9524209649528166,0.64
stage1,matchboxnet_strategy_b,1338,matchboxnet,b,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/matchboxnet_strategy_b/seed_1338/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/matchboxnet_strategy_b/seed_1338,0.9467120181405896,0.9212127613550686,0.9579830060518919,0.9403553299492385,0.9099058452305934,0.9587794909983947,
stage1,kwt_strategy_a,1337,kwt,a,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/kwt_strategy_a/seed_1337/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/kwt_strategy_a/seed_1337,0.9720804988662132,0.9563319081008994,0.961279776315003,0.9647490129723633,0.9458964991451845,0.966163191354973,
stage1,bcresnet_strategy_b,1338,bcresnet,b,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_b/seed_1338/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_b/seed_1338,0.9338151927437641,0.9104169045829446,0.9582273950052844,0.9397913141567964,0.9179685544574685,0.9652404935182224,
stage1,bcresnet_strategy_b,1337,bcresnet,b,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_b/seed_1337/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_b/seed_1337,0.9444444444444444,0.9231675733246966,0.9609396459654546,0.9400733220530175,0.9176932596093358,0.9645610842243725,
stage1,bcresnet_strategy_c,1338,bcresnet,c,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_c/seed_1338/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_c/seed_1338,0.9648526077097506,0.9475238899316826,0.9559129435509245,0.9631979695431472,0.9439192385626475,0.9571709393288694,
stage1,bcresnet_strategy_c,1337,bcresnet,c,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_c/seed_1337/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_c/seed_1337,0.9542233560090703,0.9316921396257173,0.9457604440682775,0.9533276931754089,0.926163807711745,0.9441728547670595,
stage1,bcresnet_strategy_d,1338,bcresnet,d,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_d/seed_1338/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_d/seed_1338,0.953514739229025,0.9349123426481852,0.9511212271238731,0.9533276931754089,0.9340643381580351,0.9519149991852448,0.44
stage1,bcresnet_strategy_d,1337,bcresnet,d,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_d/seed_1337/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_d/seed_1337,0.9587585034013606,0.9417912781061012,0.9484023833773125,0.9592498589960519,0.9419386853561384,0.9499966080561512,0.52
